Valor      Frequência
910         4
259         4
947         3
787         3
745         3
735         3
593         3
534         3
525         3
441         3
371         3
23         3
994         2
979         2
881         2
876         2
847         2
835         2
821         2
815         2
804         2
782         2
781         2
780         2
777         2
751         2
750         2
742         2
709         2
702         2
700         2
696         2
685         2
683         2
670         2
662         2
656         2
654         2
643         2
626         2
620         2
616         2
596         2
586         2
556         2
546         2
544         2
532         2
531         2
528         2
515         2
502         2
497         2
483         2
479         2
474         2
467         2
425         2
423         2
403         2
399         2
394         2
378         2
377         2
354         2
340         2
332         2
311         2
300         2
284         2
263         2
255         2
254         2
251         2
246         2
229         2
192         2
184         2
165         2
147         2
141         2
129         2
121         2
111         2
110         2
63         2
39         2
36         2
6         2
2         2
991         1
986         1
985         1
984         1
983         1
978         1
977         1
976         1
971         1
962         1
957         1
956         1
954         1
953         1
952         1
948         1
945         1
943         1
925         1
924         1
918         1
912         1
909         1
907         1
905         1
904         1
900         1
898         1
897         1
892         1
889         1
888         1
887         1
886         1
877         1
875         1
873         1
869         1
868         1
867         1
866         1
858         1
857         1
854         1
853         1
852         1
851         1
850         1
849         1
846         1
844         1
840         1
837         1
836         1
825         1
824         1
822         1
817         1
808         1
801         1
799         1
798         1
797         1
795         1
793         1
789         1
784         1
776         1
773         1
763         1
761         1
758         1
753         1
749         1
747         1
746         1
743         1
741         1
737         1
736         1
732         1
731         1
730         1
729         1
728         1
722         1
718         1
716         1
715         1
714         1
712         1
711         1
710         1
695         1
691         1
690         1
689         1
688         1
676         1
675         1
669         1
668         1
667         1
661         1
660         1
657         1
655         1
652         1
646         1
644         1
635         1
633         1
628         1
625         1
623         1
622         1
611         1
609         1
606         1
604         1
601         1
595         1
594         1
590         1
589         1
585         1
582         1
580         1
579         1
577         1
571         1
560         1
559         1
553         1
552         1
549         1
547         1
545         1
540         1
539         1
536         1
535         1
533         1
527         1
518         1
516         1
507         1
504         1
503         1
501         1
499         1
491         1
489         1
480         1
477         1
472         1
471         1
470         1
461         1
457         1
453         1
452         1
451         1
450         1
448         1
446         1
445         1
444         1
443         1
439         1
434         1
431         1
427         1
424         1
422         1
411         1
409         1
407         1
400         1
398         1
390         1
388         1
385         1
384         1
381         1
375         1
373         1
370         1
369         1
368         1
365         1
362         1
360         1
359         1
358         1
355         1
353         1
352         1
350         1
348         1
344         1
339         1
337         1
334         1
331         1
330         1
328         1
326         1
323         1
322         1
317         1
316         1
313         1
306         1
301         1
299         1
298         1
296         1
295         1
293         1
282         1
278         1
275         1
273         1
270         1
265         1
253         1
248         1
245         1
244         1
243         1
242         1
241         1
240         1
237         1
231         1
226         1
222         1
212         1
209         1
203         1
200         1
199         1
197         1
195         1
194         1
191         1
190         1
189         1
188         1
177         1
175         1
173         1
171         1
167         1
164         1
160         1
159         1
157         1
154         1
152         1
150         1
149         1
145         1
139         1
137         1
136         1
135         1
131         1
128         1
126         1
124         1
120         1
118         1
113         1
112         1
108         1
107         1
103         1
97         1
92         1
87         1
84         1
80         1
79         1
77         1
76         1
74         1
68         1
62         1
60         1
57         1
56         1
54         1
50         1
48         1
46         1
31         1
30         1
20         1
19         1
18         1
14         1
13         1
11         1
8         1
